user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user4,touch+inertia,short,2_0,0.0533,0.8161,-0.0930,0.0813,0.2786,0.0609,-0.9550,0.0284,0.0273,0.0145,0.2000,0.0005,0.0000,0,0,1.6746,22
user4,touch+inertia,short,2_0,0.0581,0.8169,-0.0925,0.0824,0.2756,0.0640,-0.9556,0.0274,0.0280,0.0136,0.2000,0.0005,0.0000,0,0,1.6782,22
user4,touch+inertia,short,2_0,0.0627,0.8176,-0.0921,0.0832,0.2726,0.0671,-0.9562,0.0266,0.0290,0.0128,0.2000,0.0005,0.0000,0,0,1.6888,22
user4,touch+inertia,short,2_0,0.0671,0.8183,-0.0917,0.0839,0.2697,0.0700,-0.9567,0.0260,0.0299,0.0121,0.2000,0.0005,0.0000,0,0,1.6903,22
user4,touch+inertia,short,2_0,0.0713,0.8189,-0.0914,0.0848,0.2671,0.0730,-0.9572,0.0251,0.0306,0.0113,0.2000,0.0005,0.0000,0,0,1.7052,22
user4,touch+inertia,short,2_0,0.0754,0.8196,-0.0910,0.0855,0.2645,0.0746,-0.9577,0.0242,0.0309,0.0107,0.2000,0.0005,0.0000,0,0,1.7211,22
user4,touch+inertia,short,2_0,0.0793,0.8203,-0.0907,0.0861,0.2621,0.0754,-0.9582,0.0235,0.0311,0.0100,0.2000,0.0005,0.0000,0,0,1.7373,22
user4,touch+inertia,short,2_0,0.0831,0.8210,-0.0903,0.0870,0.2598,0.0771,-0.9586,0.0226,0.0312,0.0093,0.2000,0.0005,0.0000,0,0,1.7543,22
user4,touch+inertia,short,2_0,0.0868,0.8216,-0.0900,0.0879,0.2574,0.0789,-0.9591,0.0218,0.0314,0.0087,0.2000,0.0005,0.0000,0,0,1.7708,22
user4,touch+inertia,short,2_0,0.0903,0.8222,-0.0896,0.0887,0.2552,0.0812,-0.9594,0.0212,0.0317,0.0081,0.2000,0.0005,0.0000,0,0,1.7875,22
user4,touch+inertia,short,2_0,0.0937,0.8227,-0.0893,0.0893,0.2531,0.0832,-0.9597,0.0206,0.0320,0.0075,0.2000,0.0005,0.0000,0,0,1.8034,22
user4,touch+inertia,short,2_0,0.0970,0.8233,-0.0890,0.0902,0.2511,0.0854,-0.9600,0.0199,0.0321,0.0069,0.2000,0.0005,0.0000,0,0,1.8214,22
user4,touch+inertia,short,2_0,0.1001,0.8237,-0.0887,0.0911,0.2492,0.0878,-0.9601,0.0192,0.0323,0.0064,0.2000,0.0005,0.0000,0,0,1.8372,22
user4,touch+inertia,short,2_0,0.1032,0.8242,-0.0884,0.0918,0.2474,0.0896,-0.9604,0.0186,0.0323,0.0059,0.2000,0.0005,0.0000,0,0,1.8540,22
user4,touch+inertia,short,2_0,0.1060,0.8247,-0.0882,0.0924,0.2456,0.0913,-0.9606,0.0180,0.0324,0.0053,0.2000,0.0005,0.0000,0,0,1.8719,22
user4,touch+inertia,short,2_0,0.1088,0.8251,-0.0879,0.0930,0.2439,0.0930,-0.9608,0.0175,0.0324,0.0048,0.2000,0.0005,0.0000,0,0,1.8886,22
user4,touch+inertia,short,2_0,0.1115,0.8256,-0.0877,0.0937,0.2422,0.0946,-0.9610,0.0169,0.0324,0.0043,0.2000,0.0005,0.0000,0,0,1.9050,22
user4,touch+inertia,short,2_0,0.1140,0.8259,-0.0875,0.0942,0.2406,0.0966,-0.9612,0.0163,0.0324,0.0039,0.2000,0.0005,0.0000,0,0,1.9209,22
user4,touch+inertia,short,2_0,0.1164,0.8263,-0.0873,0.0949,0.2391,0.0985,-0.9613,0.0158,0.0324,0.0034,0.2000,0.0005,0.0000,0,0,1.9382,22
user4,touch+inertia,short,2_0,0.1188,0.8266,-0.0871,0.0954,0.2377,0.1001,-0.9614,0.0153,0.0324,0.0030,0.2000,0.0005,0.0000,0,0,1.9549,22
user4,touch+inertia,short,2_0,0.1210,0.8269,-0.0869,0.0959,0.2363,0.1020,-0.9615,0.0148,0.0326,0.0026,0.2000,0.0005,0.0000,0,0,1.9715,22
user4,touch+inertia,short,2_0,0.1232,0.8271,-0.0868,0.0962,0.2349,0.1032,-0.9617,0.0145,0.0329,0.0022,0.2000,0.0005,0.0000,0,0,1.9886,22
user4,touch+inertia,short,2_0,0.1253,0.8273,-0.0866,0.0967,0.2336,0.1048,-0.9618,0.0143,0.0332,0.0020,0.2000,0.0005,0.0000,0,0,2.0051,22
user4,touch+inertia,short,2_0,0.1272,0.8275,-0.0865,0.0971,0.2323,0.1066,-0.9619,0.0141,0.0335,0.0020,0.2000,0.0005,0.0000,0,0,2.0205,22
user4,touch+inertia,short,2_0,0.1291,0.8277,-0.0864,0.0976,0.2310,0.1081,-0.9620,0.0140,0.0338,0.0020,0.2000,0.0005,0.0000,0,0,2.0384,22
user4,touch+inertia,short,2_0,0.1309,0.8278,-0.0863,0.0978,0.2295,0.1097,-0.9621,0.0141,0.0343,0.0023,0.2000,0.0005,0.0000,0,0,2.0550,22
user4,touch+inertia,short,2_0,0.1326,0.8279,-0.0862,0.0981,0.2282,0.1112,-0.9622,0.0143,0.0347,0.0027,0.2000,0.0005,0.0000,0,0,2.0735,22
user4,touch+inertia,short,2_0,0.1342,0.8280,-0.0861,0.0983,0.2270,0.1127,-0.9623,0.0144,0.0350,0.0031,0.2000,0.0005,0.0000,0,0,2.0881,22
user4,touch+inertia,short,2_0,0.1358,0.8281,-0.0860,0.0986,0.2259,0.1139,-0.9624,0.0144,0.0351,0.0034,0.2000,0.0005,0.0000,0,0,2.1059,22
user4,touch+inertia,short,2_0,0.1373,0.8281,-0.0859,0.0989,0.2248,0.1150,-0.9625,0.0143,0.0351,0.0037,0.2000,0.0005,0.0000,0,0,2.1204,22
user4,touch+inertia,short,2_0,0.1388,0.8283,-0.0858,0.0985,0.2236,0.1144,-0.9629,0.0141,0.0350,0.0039,0.2000,0.0005,0.0000,0,0,2.1387,22
user4,touch+inertia,short,2_0,0.1401,0.8283,-0.0857,0.0985,0.2226,0.1148,-0.9631,0.0135,0.0349,0.0041,0.2000,0.0005,0.0000,0,0,2.1553,22
user4,touch+inertia,short,2_0,0.1414,0.8284,-0.0856,0.0984,0.2217,0.1146,-0.9633,0.0127,0.0348,0.0041,0.2000,0.0005,0.0000,1,1,2.1714,22
user4,touch+inertia,short,2_0,0.1426,0.8284,-0.0855,0.0982,0.2207,0.1155,-0.9635,0.0111,0.0348,0.0038,0.2000,0.0005,0.0000,1,1,2.1884,22
user4,touch+inertia,short,2_0,0.1439,0.8284,-0.0853,0.0981,0.2200,0.1164,-0.9636,0.0089,0.0347,0.0031,0.2000,0.0005,0.0000,1,1,2.2056,22
user4,touch+inertia,short,2_0,0.1451,0.8285,-0.0852,0.0974,0.2192,0.1174,-0.9637,0.0065,0.0347,0.0023,0.2000,0.0005,0.0000,1,1,2.2206,22
user4,touch+inertia,short,2_0,0.1462,0.8284,-0.0850,0.0975,0.2187,0.1179,-0.9637,0.0040,0.0350,0.0013,0.1931,0.0005,-0.0007,1,0,2.2383,22
user4,touch+inertia,short,2_0,0.1473,0.8284,-0.0848,0.0977,0.2183,0.1182,-0.9638,0.0015,0.0356,0.0002,0.1931,0.0005,-0.0007,1,0,2.2547,22
user4,touch+inertia,short,2_0,0.1483,0.8284,-0.0846,0.0981,0.2179,0.1182,-0.9638,-0.0009,0.0362,-0.0010,0.1931,0.0005,-0.0007,1,0,2.2714,22
user4,touch+inertia,short,2_0,0.1493,0.8283,-0.0845,0.0984,0.2175,0.1181,-0.9639,-0.0030,0.0371,-0.0020,0.1931,0.0005,-0.0007,1,0,2.2885,22
user4,touch+inertia,short,2_0,0.1502,0.8283,-0.0843,0.0984,0.2171,0.1185,-0.9639,-0.0047,0.0381,-0.0030,0.1776,0.0005,-0.0025,1,0,2.3052,22
user4,touch+inertia,short,2_0,0.1511,0.8282,-0.0842,0.0984,0.2168,0.1187,-0.9640,-0.0062,0.0392,-0.0039,0.1776,0.0005,-0.0025,1,0,2.3208,22
user4,touch+inertia,short,2_0,0.1519,0.8281,-0.0841,0.0984,0.2163,0.1194,-0.9640,-0.0071,0.0404,-0.0045,0.1776,0.0005,-0.0025,1,0,2.3381,22
user4,touch+inertia,short,2_0,0.1526,0.8279,-0.0840,0.0982,0.2157,0.1200,-0.9641,-0.0075,0.0415,-0.0050,0.1661,0.0005,-0.0038,1,0,2.3548,22
user4,touch+inertia,short,2_0,0.1533,0.8278,-0.0839,0.0980,0.2153,0.1204,-0.9641,-0.0075,0.0425,-0.0054,0.1661,0.0005,-0.0038,1,0,2.3719,22
user4,touch+inertia,short,2_0,0.1540,0.8276,-0.0838,0.0979,0.2149,0.1208,-0.9642,-0.0072,0.0434,-0.0057,0.1661,0.0005,-0.0038,1,0,2.3882,22
user4,touch+inertia,short,2_0,0.1546,0.8274,-0.0837,0.0977,0.2144,0.1215,-0.9642,-0.0064,0.0441,-0.0057,0.1600,0.0005,-0.0045,1,0,2.4050,22
user4,touch+inertia,short,2_0,0.1552,0.8272,-0.0836,0.0977,0.2140,0.1225,-0.9642,-0.0056,0.0447,-0.0056,0.1600,0.0005,-0.0045,1,0,2.4207,22
user4,touch+inertia,short,2_0,0.1559,0.8270,-0.0835,0.0974,0.2133,0.1227,-0.9643,-0.0045,0.0451,-0.0055,0.1600,0.0005,-0.0045,1,0,2.4384,22
user4,touch+inertia,short,2_0,0.1565,0.8268,-0.0833,0.0973,0.2130,0.1228,-0.9644,-0.0032,0.0453,-0.0053,0.1600,0.0005,-0.0045,1,0,2.4551,22
user4,touch+inertia,short,2_0,0.1571,0.8265,-0.0832,0.0971,0.2126,0.1228,-0.9645,-0.0020,0.0454,-0.0050,0.1600,0.0005,-0.0045,1,0,2.4719,22
user4,touch+inertia,short,2_0,0.1576,0.8262,-0.0831,0.0969,0.2123,0.1227,-0.9646,-0.0008,0.0455,-0.0047,0.1576,0.0005,-0.0047,1,0,2.4886,22
user4,touch+inertia,short,2_0,0.1582,0.8260,-0.0830,0.0969,0.2121,0.1225,-0.9647,0.0002,0.0454,-0.0044,0.1576,0.0005,-0.0047,1,0,2.5055,22
user4,touch+inertia,short,2_0,0.1588,0.8257,-0.0830,0.0966,0.2117,0.1223,-0.9648,0.0012,0.0452,-0.0041,0.1576,0.0005,-0.0047,1,0,2.5207,22
user4,touch+inertia,short,2_0,0.1594,0.8255,-0.0829,0.0962,0.2112,0.1220,-0.9650,0.0020,0.0449,-0.0038,0.1576,0.0005,-0.0047,1,0,2.5380,22
user4,touch+inertia,short,2_0,0.1600,0.8252,-0.0829,0.0960,0.2107,0.1227,-0.9651,0.0025,0.0444,-0.0034,0.1569,0.0005,-0.0048,1,0,2.5554,22
user4,touch+inertia,short,2_0,0.1605,0.8249,-0.0829,0.0960,0.2104,0.1232,-0.9651,0.0028,0.0439,-0.0031,0.1569,0.0005,-0.0048,1,0,2.5714,22
user4,touch+inertia,short,2_0,0.1610,0.8246,-0.0828,0.0959,0.2098,0.1234,-0.9652,0.0029,0.0434,-0.0028,0.1569,0.0005,-0.0048,1,0,2.5889,22
user4,touch+inertia,short,2_0,0.1615,0.8243,-0.0829,0.0955,0.2091,0.1238,-0.9653,0.0024,0.0431,-0.0025,0.1569,0.0005,-0.0048,1,0,2.6054,22
user4,touch+inertia,short,2_0,0.1620,0.8240,-0.0829,0.0950,0.2082,0.1246,-0.9654,0.0017,0.0427,-0.0023,0.1569,0.0005,-0.0048,1,0,2.6206,22
user4,touch+inertia,short,2_0,0.1625,0.8238,-0.0829,0.0947,0.2077,0.1252,-0.9655,0.0004,0.0422,-0.0025,0.1568,0.0005,-0.0048,1,0,2.6385,22
user4,touch+inertia,short,2_0,0.1630,0.8235,-0.0830,0.0944,0.2070,0.1263,-0.9655,-0.0013,0.0418,-0.0028,0.1552,0.0005,-0.0043,2,1,2.6551,22
user4,touch+inertia,short,2_0,0.1635,0.8233,-0.0830,0.0944,0.2066,0.1270,-0.9655,-0.0031,0.0415,-0.0032,0.1552,0.0005,-0.0043,2,1,2.6725,22
user4,touch+inertia,short,2_0,0.1640,0.8231,-0.0831,0.0942,0.2060,0.1280,-0.9656,-0.0047,0.0414,-0.0037,0.1552,0.0005,-0.0043,2,1,2.6885,22
user4,touch+inertia,short,2_0,0.1644,0.8229,-0.0831,0.0940,0.2055,0.1281,-0.9657,-0.0060,0.0414,-0.0041,0.1441,0.0005,-0.0057,2,0,2.7050,22
user4,touch+inertia,short,2_0,0.1648,0.8227,-0.0832,0.0946,0.2055,0.1278,-0.9657,-0.0069,0.0416,-0.0043,0.1441,0.0005,-0.0057,2,0,2.7207,22
user4,touch+inertia,short,2_0,0.1652,0.8225,-0.0832,0.0946,0.2054,0.1279,-0.9657,-0.0073,0.0419,-0.0044,0.1441,0.0005,-0.0057,2,0,2.7381,22
user4,touch+inertia,short,2_0,0.1656,0.8224,-0.0833,0.0944,0.2051,0.1283,-0.9657,-0.0072,0.0424,-0.0044,0.1441,0.0005,-0.0057,2,0,2.7548,22
user4,touch+inertia,short,2_0,0.1660,0.8222,-0.0834,0.0941,0.2050,0.1286,-0.9657,-0.0066,0.0430,-0.0043,0.1307,0.0005,-0.0090,2,0,2.7722,22
user4,touch+inertia,short,2_0,0.1663,0.8221,-0.0835,0.0938,0.2049,0.1278,-0.9659,-0.0057,0.0436,-0.0041,0.1307,0.0005,-0.0090,2,0,2.7883,22
user4,touch+inertia,short,2_0,0.1666,0.8219,-0.0836,0.0936,0.2044,0.1285,-0.9659,-0.0046,0.0442,-0.0038,0.1307,0.0005,-0.0090,2,0,2.8051,22
user4,touch+inertia,short,2_0,0.1670,0.8217,-0.0837,0.0937,0.2042,0.1288,-0.9659,-0.0034,0.0447,-0.0034,0.1230,0.0005,-0.0108,2,0,2.8210,22
user4,touch+inertia,short,2_0,0.1673,0.8216,-0.0838,0.0937,0.2038,0.1292,-0.9659,-0.0021,0.0451,-0.0030,0.1230,0.0005,-0.0108,2,0,2.8382,22
user4,touch+inertia,short,2_0,0.1678,0.8213,-0.0839,0.0938,0.2033,0.1292,-0.9660,-0.0008,0.0452,-0.0025,0.1230,0.0005,-0.0108,2,0,2.8555,22
user4,touch+inertia,short,2_0,0.1682,0.8211,-0.0839,0.0938,0.2029,0.1294,-0.9661,0.0003,0.0451,-0.0021,0.1230,0.0005,-0.0108,2,0,2.8722,22
user4,touch+inertia,short,2_0,0.1686,0.8209,-0.0840,0.0939,0.2027,0.1295,-0.9661,0.0013,0.0448,-0.0018,0.1190,0.0005,-0.0118,2,0,2.8890,22
user4,touch+inertia,short,2_0,0.1690,0.8208,-0.0841,0.0938,0.2025,0.1294,-0.9662,0.0020,0.0442,-0.0016,0.1190,0.0005,-0.0118,2,0,2.9056,22
user4,touch+inertia,short,2_0,0.1694,0.8206,-0.0841,0.0938,0.2021,0.1290,-0.9663,0.0025,0.0437,-0.0014,0.1190,0.0005,-0.0118,2,0,2.9208,22
user4,touch+inertia,short,2_0,0.1698,0.8204,-0.0842,0.0936,0.2017,0.1289,-0.9664,0.0026,0.0433,-0.0011,0.1176,0.0005,-0.0121,2,0,2.9384,22
user4,touch+inertia,short,2_0,0.1702,0.8202,-0.0843,0.0937,0.2013,0.1286,-0.9665,0.0022,0.0428,-0.0008,0.1176,0.0005,-0.0121,2,0,2.9556,22
user4,touch+inertia,short,2_0,0.1706,0.8200,-0.0844,0.0936,0.2007,0.1289,-0.9666,0.0014,0.0424,-0.0007,0.1176,0.0005,-0.0121,2,0,2.9723,22
user4,touch+inertia,short,2_0,0.1710,0.8198,-0.0845,0.0935,0.2001,0.1291,-0.9667,0.0007,0.0420,-0.0006,0.1176,0.0005,-0.0121,2,0,2.9892,22
user4,touch+inertia,short,2_0,0.1715,0.8196,-0.0845,0.0935,0.1997,0.1294,-0.9668,-0.0006,0.0416,-0.0006,0.1176,0.0005,-0.0121,2,0,3.0050,22
user4,touch+inertia,short,2_0,0.1719,0.8193,-0.0846,0.0935,0.1993,0.1297,-0.9668,-0.0018,0.0414,-0.0005,0.1151,0.0005,-0.0118,3,1,3.0212,22
user4,touch+inertia,short,2_0,0.1724,0.8192,-0.0846,0.0932,0.1990,0.1304,-0.9668,-0.0028,0.0415,-0.0004,0.1151,0.0005,-0.0118,3,1,3.0384,22
user4,touch+inertia,short,2_0,0.1728,0.8190,-0.0847,0.0931,0.1987,0.1309,-0.9668,-0.0034,0.0418,-0.0001,0.0998,0.0005,-0.0104,3,0,3.0556,22
user4,touch+inertia,short,2_0,0.1731,0.8188,-0.0848,0.0929,0.1983,0.1319,-0.9668,-0.0038,0.0424,0.0003,0.0998,0.0005,-0.0104,3,0,3.0715,22
user4,touch+inertia,short,2_0,0.1734,0.8186,-0.0849,0.0926,0.1978,0.1326,-0.9668,-0.0038,0.0431,0.0007,0.0998,0.0005,-0.0104,3,0,3.0884,22
user4,touch+inertia,short,2_0,0.1737,0.8184,-0.0849,0.0924,0.1978,0.1329,-0.9668,-0.0033,0.0440,0.0011,0.0998,0.0005,-0.0104,3,0,3.1053,22
user4,touch+inertia,short,2_0,0.1740,0.8183,-0.0850,0.0922,0.1978,0.1333,-0.9668,-0.0026,0.0448,0.0015,0.0832,0.0005,-0.0089,3,0,3.1212,22
user4,touch+inertia,short,2_0,0.1742,0.8181,-0.0851,0.0922,0.1977,0.1334,-0.9668,-0.0017,0.0457,0.0019,0.0832,0.0005,-0.0089,3,0,3.1387,22
user4,touch+inertia,short,2_0,0.1744,0.8180,-0.0851,0.0918,0.1974,0.1337,-0.9668,-0.0006,0.0463,0.0022,0.0832,0.0005,-0.0089,3,0,3.1550,22
user4,touch+inertia,short,2_0,0.1747,0.8178,-0.0851,0.0917,0.1972,0.1347,-0.9667,0.0004,0.0469,0.0024,0.0723,0.0005,-0.0079,3,0,3.1725,22
user4,touch+inertia,short,2_0,0.1749,0.8176,-0.0852,0.0916,0.1971,0.1359,-0.9666,0.0015,0.0474,0.0027,0.0723,0.0005,-0.0079,3,0,3.1880,22
user4,touch+inertia,short,2_0,0.1751,0.8174,-0.0852,0.0916,0.1969,0.1364,-0.9666,0.0025,0.0476,0.0029,0.0723,0.0005,-0.0079,3,0,3.2054,22
user4,touch+inertia,short,2_0,0.1753,0.8172,-0.0852,0.0916,0.1969,0.1375,-0.9664,0.0033,0.0478,0.0031,0.0723,0.0005,-0.0079,3,0,3.2213,22
user4,touch+inertia,short,2_0,0.1755,0.8170,-0.0851,0.0916,0.1969,0.1377,-0.9664,0.0042,0.0477,0.0032,0.0671,0.0005,-0.0074,3,0,3.2400,22
user4,touch+inertia,short,2_0,0.1756,0.8169,-0.0851,0.0914,0.1969,0.1382,-0.9663,0.0048,0.0474,0.0032,0.0671,0.0005,-0.0074,3,0,3.2555,22
user4,touch+inertia,short,2_0,0.1758,0.8168,-0.0851,0.0911,0.1968,0.1385,-0.9663,0.0053,0.0471,0.0033,0.0671,0.0005,-0.0074,3,0,3.2724,22
user4,touch+inertia,short,2_0,0.1761,0.8169,-0.0851,0.0891,0.1967,0.1389,-0.9665,0.0057,0.0465,0.0031,0.0654,0.0005,-0.0073,3,0,3.2884,22
user4,touch+inertia,short,2_0,0.1763,0.8168,-0.0851,0.0888,0.1967,0.1382,-0.9666,0.0061,0.0460,0.0031,0.0654,0.0005,-0.0073,3,0,3.3054,22
user4,touch+inertia,short,2_0,0.1765,0.8168,-0.0852,0.0884,0.1966,0.1374,-0.9668,0.0064,0.0455,0.0032,0.0654,0.0005,-0.0073,3,0,3.3207,22
user4,touch+inertia,short,2_0,0.1768,0.8167,-0.0852,0.0883,0.1965,0.1367,-0.9669,0.0066,0.0448,0.0032,0.0654,0.0005,-0.0073,3,0,3.3384,22
user4,touch+inertia,short,2_0,0.1770,0.8167,-0.0852,0.0883,0.1961,0.1375,-0.9669,0.0066,0.0443,0.0034,0.0650,0.0005,-0.0072,3,0,3.3558,22
user4,touch+inertia,short,2_0,0.1772,0.8166,-0.0853,0.0883,0.1958,0.1380,-0.9669,0.0066,0.0438,0.0036,0.0650,0.0005,-0.0072,3,0,3.3716,22
user4,touch+inertia,short,2_0,0.1774,0.8166,-0.0853,0.0876,0.1954,0.1366,-0.9672,0.0067,0.0432,0.0037,0.0650,0.0005,-0.0072,3,0,3.3881,22
user4,touch+inertia,short,2_0,0.1776,0.8166,-0.0854,0.0868,0.1950,0.1352,-0.9676,0.0067,0.0426,0.0038,0.0649,0.0005,-0.0072,4,1,3.4066,22
user4,touch+inertia,short,2_0,0.1778,0.8167,-0.0854,0.0859,0.1946,0.1336,-0.9680,0.0066,0.0420,0.0038,0.0649,0.0005,-0.0072,4,1,3.4209,22
user4,touch+inertia,short,2_0,0.1779,0.8168,-0.0855,0.0854,0.1942,0.1322,-0.9683,0.0064,0.0415,0.0039,0.0649,0.0005,-0.0072,4,1,3.4385,22
user4,touch+inertia,short,2_0,0.1781,0.8166,-0.0856,0.0856,0.1940,0.1333,-0.9681,0.0057,0.0411,0.0040,0.0649,0.0005,-0.0072,4,1,3.4556,22
user4,touch+inertia,short,2_0,0.1783,0.8165,-0.0856,0.0859,0.1937,0.1343,-0.9680,0.0048,0.0408,0.0040,0.0642,0.0005,-0.0068,4,1,3.4724,22
user4,touch+inertia,short,2_0,0.1784,0.8165,-0.0857,0.0862,0.1936,0.1352,-0.9679,0.0040,0.0405,0.0040,0.0642,0.0005,-0.0068,4,1,3.4889,22
user4,touch+inertia,short,2_0,0.1785,0.8164,-0.0857,0.0864,0.1935,0.1359,-0.9678,0.0030,0.0403,0.0039,0.0642,0.0005,-0.0068,4,1,3.5050,22
user4,touch+inertia,short,2_0,0.1786,0.8164,-0.0857,0.0864,0.1935,0.1363,-0.9677,0.0020,0.0404,0.0038,0.0642,0.0005,-0.0068,4,1,3.5209,22
user4,touch+inertia,short,2_0,0.1787,0.8163,-0.0857,0.0864,0.1934,0.1361,-0.9678,0.0011,0.0407,0.0038,0.0583,0.0005,-0.0068,4,1,3.5404,22
user4,touch+inertia,short,2_0,0.1788,0.8162,-0.0856,0.0864,0.1934,0.1360,-0.9678,0.0005,0.0413,0.0037,0.0583,0.0005,-0.0068,4,1,3.5549,22
user4,touch+inertia,short,2_0,0.1789,0.8162,-0.0856,0.0864,0.1933,0.1361,-0.9678,0.0000,0.0420,0.0038,0.0583,0.0005,-0.0068,4,1,3.5727,22
user4,touch+inertia,short,2_0,0.1790,0.8161,-0.0855,0.0865,0.1934,0.1361,-0.9678,-0.0003,0.0428,0.0039,0.0499,0.0005,-0.0076,4,0,3.5885,22
user4,touch+inertia,short,2_0,0.1790,0.8161,-0.0855,0.0863,0.1934,0.1366,-0.9677,-0.0005,0.0436,0.0040,0.0499,0.0005,-0.0076,4,0,3.6050,22
user4,touch+inertia,short,2_0,0.1790,0.8160,-0.0855,0.0861,0.1934,0.1373,-0.9676,-0.0003,0.0445,0.0042,0.0499,0.0005,-0.0076,4,0,3.6211,22
user4,touch+inertia,short,2_0,0.1791,0.8159,-0.0855,0.0860,0.1936,0.1371,-0.9676,0.0002,0.0453,0.0044,0.0434,0.0005,-0.0082,4,0,3.6383,22
user4,touch+inertia,short,2_0,0.1791,0.8159,-0.0854,0.0860,0.1940,0.1372,-0.9676,0.0010,0.0461,0.0046,0.0434,0.0005,-0.0082,4,0,3.6548,22
user4,touch+inertia,short,2_0,0.1791,0.8159,-0.0854,0.0855,0.1940,0.1362,-0.9677,0.0019,0.0467,0.0047,0.0434,0.0005,-0.0082,4,0,3.6721,22
user4,touch+inertia,short,2_0,0.1791,0.8159,-0.0854,0.0853,0.1940,0.1363,-0.9677,0.0028,0.0472,0.0049,0.0397,0.0005,-0.0085,4,0,3.6886,22
user4,touch+inertia,short,2_0,0.1791,0.8158,-0.0854,0.0852,0.1940,0.1370,-0.9676,0.0036,0.0476,0.0051,0.0397,0.0005,-0.0085,4,0,3.7051,22
user4,touch+inertia,short,2_0,0.1791,0.8158,-0.0854,0.0853,0.1942,0.1373,-0.9676,0.0045,0.0479,0.0052,0.0397,0.0005,-0.0085,4,0,3.7210,22
user4,touch+inertia,short,2_0,0.1791,0.8157,-0.0854,0.0854,0.1943,0.1377,-0.9675,0.0053,0.0479,0.0053,0.0397,0.0005,-0.0085,4,0,3.7385,22
user4,touch+inertia,short,2_0,0.1791,0.8156,-0.0854,0.0855,0.1945,0.1378,-0.9674,0.0060,0.0478,0.0053,0.0381,0.0005,-0.0087,4,0,3.7554,22
user4,touch+inertia,short,2_0,0.1791,0.8156,-0.0854,0.0856,0.1947,0.1380,-0.9673,0.0067,0.0475,0.0053,0.0381,0.0005,-0.0087,4,0,3.7722,22
user4,touch+inertia,short,2_0,0.1791,0.8155,-0.0854,0.0857,0.1947,0.1382,-0.9673,0.0072,0.0472,0.0053,0.0381,0.0005,-0.0087,4,0,3.7886,22
user4,touch+inertia,short,2_0,0.1792,0.8154,-0.0854,0.0856,0.1946,0.1385,-0.9673,0.0077,0.0469,0.0052,0.0381,0.0005,-0.0087,4,0,3.8054,22
user4,touch+inertia,short,2_0,0.1792,0.8154,-0.0855,0.0855,0.1945,0.1389,-0.9672,0.0080,0.0465,0.0052,0.0376,0.0005,-0.0087,4,0,3.8208,22
user4,touch+inertia,short,2_0,0.1793,0.8154,-0.0855,0.0853,0.1945,0.1384,-0.9673,0.0083,0.0459,0.0051,0.0376,0.0005,-0.0087,4,0,3.8384,22
user4,touch+inertia,short,2_0,0.1793,0.8155,-0.0855,0.0854,0.1948,0.1375,-0.9674,0.0086,0.0453,0.0049,0.0376,0.0005,-0.0087,4,0,3.8554,22
user4,touch+inertia,short,2_0,0.1794,0.8155,-0.0856,0.0854,0.1950,0.1368,-0.9675,0.0088,0.0446,0.0048,0.0375,0.0005,-0.0088,4,0,3.8724,22
user4,touch+inertia,short,2_0,0.1795,0.8155,-0.0857,0.0852,0.1951,0.1361,-0.9676,0.0089,0.0439,0.0047,0.0375,0.0005,-0.0088,4,0,3.8883,22
user4,touch+inertia,short,2_0,0.1796,0.8155,-0.0857,0.0849,0.1951,0.1353,-0.9677,0.0090,0.0433,0.0047,0.0375,0.0005,-0.0088,4,0,3.9054,22
user4,touch+inertia,short,2_0,0.1796,0.8156,-0.0858,0.0847,0.1950,0.1343,-0.9679,0.0090,0.0427,0.0047,0.0375,0.0005,-0.0088,4,0,3.9208,22
user4,touch+inertia,short,2_0,0.1797,0.8155,-0.0859,0.0844,0.1946,0.1348,-0.9679,0.0088,0.0422,0.0048,0.0375,0.0005,-0.0088,4,0,3.9386,22
user4,touch+inertia,short,2_0,0.1797,0.8155,-0.0859,0.0841,0.1943,0.1351,-0.9680,0.0084,0.0417,0.0049,0.0375,0.0005,-0.0088,4,0,3.9560,22
user4,touch+inertia,short,2_0,0.1798,0.8154,-0.0860,0.0836,0.1940,0.1347,-0.9681,0.0079,0.0412,0.0049,0.0375,0.0005,-0.0088,4,0,3.9717,22
user4,touch+inertia,short,2_0,0.1798,0.8153,-0.0861,0.0836,0.1939,0.1351,-0.9681,0.0071,0.0409,0.0050,0.0367,0.0005,-0.0082,5,1,3.9887,22
user4,touch+inertia,short,2_0,0.1800,0.8152,-0.0861,0.0836,0.1938,0.1351,-0.9681,0.0061,0.0405,0.0051,0.0367,0.0005,-0.0082,5,1,4.0055,22
user4,touch+inertia,short,2_0,0.1801,0.8151,-0.0862,0.0836,0.1936,0.1350,-0.9681,0.0051,0.0401,0.0052,0.0367,0.0005,-0.0082,5,1,4.0208,22
user4,touch+inertia,short,2_0,0.1801,0.8151,-0.0862,0.0838,0.1936,0.1354,-0.9681,0.0039,0.0398,0.0053,0.0367,0.0005,-0.0082,5,1,4.0390,22
